edge_id,parent_claim,child_claims,decomposition_kind,soundness_status,coverage_status,naturality_status,rank_status
EDGE-X040-01,X040-G5,X040-G1|X040-G2|X040-G3|X040-G4,common-source-product-reduction,STANDARD-CORE/PROJECT-OPEN,N/A,OPEN,PARTIAL
EDGE-X040-02,X040-G8,X040-G5|X040-G6|X040-G7,common-flatifier-realization,OPEN,OPEN,OPEN,OPEN
EDGE-X040-03,X040-G10,X040-G9,support-thickness-defect-routing,OPEN,OPEN,OPEN,OPEN
EDGE-X040-04,X040-G13,X040-G9|X040-G11|X040-G12,crossing-to-disjoint-or-nested,COMBINATORIAL-PARTIAL/SCHEME-OPEN,PARTIAL,OPEN,N/A
EDGE-X040-05,X040-G14,X040-G8|X040-G13,Hironaka-transitivity-and-flat-lift,ABSTRACT-BACKEND-CLOSED/GEOMETRY-OPEN,N/A,OPEN,N/A
EDGE-X040-06,X040-G15,X040-G8|X040-G14,common-passive-budget-no-recharge,ARITHMETIC-CLOSED/GEOMETRY-OPEN,OPEN,OPEN,PARTIAL
EDGE-X040-07,X040-G18,X040-G10|X040-G11|X040-G13|X040-G14|X040-G15|X040-G16,joint-legalization-compiler,OPEN,OPEN,OPEN,OPEN
EDGE-X040-08,TRM-12,X040-G17|X040-G18,outer-causal-termination,OPEN,OPEN,OPEN,OPEN
EDGE-X040-09,GLB-07,TRM-12|GLB-03|GLB-04,global-serialization,OPEN,OPEN,OPEN,OPEN
EDGE-X040-10,FIN-01,GLB-07|GLB-08,final-resolution-compiler,OPEN-FINAL,OPEN,OPEN,OPEN
