leaf_id,parent_claim,statement,lean_declaration,status
X038-L1,X038-G2,Relative power saturation is extensive monotone and idempotent,PCRLean.Experimental.PowerSaturation.powerSaturation_idem,SOURCE-WRITTEN
X038-L2,X038-G2,A quotient class is q-power torsion iff its representative is in relative q-saturation,PCRLean.Experimental.PowerSaturation.quotient_mk_mem_powerTorsion_iff,SOURCE-WRITTEN
X038-L3,X038-G2,Regular multiplication by q on the quotient forces q-saturation to be trivial,PCRLean.Experimental.PowerSaturation.powerSaturation_eq_of_isSMulRegular_quotient,SOURCE-WRITTEN
X038-L4,X038-G6,A Tor epimorphism followed by a zero-kernel full-range Valabrega map induces a canonical equivalence,PCRLean.Experimental.ControlledCoreInterchange.Factorization.interchangeEquiv,SOURCE-WRITTEN
X038-L5,X038-G6,The controlled-core equivalence is the composite of the two comparison maps,PCRLean.Experimental.ControlledCoreInterchange.Factorization.interchangeEquiv_apply,SOURCE-WRITTEN
X038-L6,X038-G7A,Flatness of a complete bigraded direct sum is equivalent to flatness of every bidegree,PCRLean.Experimental.BigradedFlatnessCompiler.directSumFlat_iff_pieceFlat,SOURCE-WRITTEN
X038-L7,X038-G7A,Pointwise flatness for every finite owner and bidegree compiles to portfolio flatness,PCRLean.Experimental.BigradedFlatnessCompiler.portfolioFlat,SOURCE-WRITTEN
X038-L8,X038-G19,A carrier-dimension drop dominates arbitrary later-coordinate changes,PCRLean.Experimental.FlatKillLegalizationRank.dimension_drop,SOURCE-WRITTEN
X038-L9,X038-G19,A transform-defect drop dominates contact and debt changes,PCRLean.Experimental.FlatKillLegalizationRank.defect_drop,SOURCE-WRITTEN
X038-L10,X038-G19,The dimension/defect/contact/debt order is well founded,PCRLean.Experimental.FlatKillLegalizationRank.rank_wellFounded,SOURCE-WRITTEN
