edge_id,parent_claim,child_claims,decomposition_kind,soundness_status,coverage_status,naturality_status,rank_status
EDGE-X041-01,X041-G3,X041-G1|X041-G2,canonical-homogenization-to-functorial-flatification,STANDARD-RYDH-INPUT/PACKET-SCHEME-OPEN,N/A,PARTIAL,N/A
EDGE-X041-02,X041-G5,X041-G3|X041-G4,centre-exact-source-cofinality,STANDARD-STRICT-TRANSFORM-CORE/INTERFACE-OPEN,N/A,PARTIAL,N/A
EDGE-X041-03,X041-G6,X041-G5,support-dimension-inductive-realization,OPEN,OPEN,OPEN,OPEN
EDGE-X041-04,X041-G7,X041-G6,carrier-word-to-ambient-trace-word,OPEN,OPEN,OPEN,OPEN
EDGE-X041-05,X041-G9,X041-G7|X041-G8,regular-flag-degreewise-flat-lift,LEAN-COMPILER-CLOSED/GEOMETRY-OPEN,OPEN,OPEN,N/A
EDGE-X041-06,X041-G10,X041-G8|X041-G9,overlap-and-flat-base-change,OPEN,N/A,OPEN,N/A
EDGE-X041-07,X041-G11,X041-G9|X041-G10,transitivity-and-nested-persistence,ABSTRACT-BACKEND-CLOSED/SCHEME-OPEN,OPEN,OPEN,N/A
EDGE-X041-08,X041-G14,X041-G11|X041-G12|X041-G13,joint-legalization-compiler,OPEN,OPEN,OPEN,OPEN
EDGE-X041-09,TRM-12,X041-G13|X041-G14,outer-causal-termination,OPEN,OPEN,OPEN,OPEN
EDGE-X041-10,FIN-01,TRM-12|GLB-07|GLB-08,final-resolution-compiler,OPEN-FINAL,OPEN,OPEN,OPEN
