edge_id,parent_claim,child_claims,decomposition_kind,soundness_status,coverage_status,naturality_status,rank_status
EDGE-X039-01,X039-G2,X039-G1,Hironaka-tensor-flatness,STANDARD-MATH-IDENTIFIED,N/A,LEAN-SCHEME-OPEN,N/A
EDGE-X039-02,X039-G6,X039-G3|X039-G4|X039-G5|X039-G10,regular-flag-flat-lift,OPEN,OPEN,OPEN,N/A
EDGE-X039-03,X039-G14,X039-G7|X039-G8|X039-G9|X039-G6,carrier-dimension-induction,ARITHMETIC-LEAN-CLOSED/GEOMETRY-OPEN,OPEN,OPEN,PARTIAL
EDGE-X039-04,X039-G15,X039-G2|X039-G10|X039-G11,passive-no-recharge,ABSTRACT-ENDPOINTS-WRITTEN/SCHEME-OPEN,N/A,OPEN,N/A
EDGE-X039-05,X039-G16,X039-G6|X039-G12|X039-G13|X039-G14|X039-G15,joint-legalization-compiler,OPEN,OPEN,OPEN,OPEN
EDGE-X039-06,HER-15,X039-G6|X039-G13|X039-G16,all-chart-reentry-handoff,OPEN,OPEN,OPEN,OPEN
EDGE-X039-07,TRM-03,X039-G11|X039-G13,exceptional-no-recharge-handoff,ABSTRACT-LEAN-WRITTEN/GEOMETRY-OPEN,OPEN,OPEN,OPEN
EDGE-X039-08,TRM-11,X039-G14|X039-G16,termination-handoff,ARITHMETIC-LEAN-WRITTEN/GEOMETRY-OPEN,OPEN,OPEN,PARTIAL
EDGE-X039-09,GLB-07,X039-G13|X039-G14|X039-G16,globalization-handoff,OPEN,OPEN,OPEN,OPEN
EDGE-X039-10,FIN-01,GLB-07|GLB-08|HER-15|TRM-12,final-resolution-handoff,OPEN-FINAL,OPEN,OPEN,OPEN
